supplier,part_number,avg_lead_time,reliability_score,quality_impact_score,consistency_index
S1,Pharma,0,0.59,100.0,0.59
S1,Textiles,0,0.9,100.0,0.9
S28,Food,0,0.69,100.0,0.69
S25,Food,0,0.72,100.0,0.72
S24,Electronics,5,0.8,100.0,0.13
S14,Machinery,10,0.79,100.0,0.07
S10,Textiles,0,0.53,100.0,0.53
S8,Pharma,10,0.92,100.0,0.08
S4,Food,2,0.59,100.0,0.2
S19,Electronics,5,0.86,100.0,0.14
S30,Electronics,0,0.89,100.0,0.89
S29,Textiles,10,0.86,100.0,0.08
S16,Food,0,0.79,100.0,0.79
S13,Machinery,0,0.51,100.0,0.51
S3,Food,2,0.68,100.0,0.23
S1,Textiles,0,0.8,100.0,0.8
S26,Textiles,0,0.69,100.0,0.69
S5,Food,3,0.93,100.0,0.23
S9,Textiles,0,0.65,100.0,0.65
S3,Food,0,0.65,100.0,0.65
S20,Pharma,2,0.63,100.0,0.21
S3,Food,3,0.67,100.0,0.17
S5,Food,7,0.78,100.0,0.1
S29,Textiles,1,0.85,100.0,0.42
S17,Textiles,3,0.83,100.0,0.21
S27,Electronics,0,0.9,100.0,0.9
S15,Electronics,0,0.94,100.0,0.94
S28,Pharma,3,0.91,100.0,0.23
S3,Electronics,0,0.51,100.0,0.51
S25,Food,1,0.87,100.0,0.44
S13,Textiles,2,0.6,100.0,0.2
S1,Electronics,2,0.57,100.0,0.19
S19,Electronics,0,0.82,100.0,0.82
S26,Pharma,3,0.66,100.0,0.16
S21,Pharma,2,0.53,100.0,0.18
S22,Food,3,0.57,100.0,0.14
S20,Textiles,0,0.5,100.0,0.5
S24,Pharma,1,0.95,100.0,0.48
S11,Electronics,0,0.51,100.0,0.51
S7,Textiles,10,0.6,100.0,0.05
S7,Textiles,0,0.71,100.0,0.71
S25,Electronics,0,0.68,100.0,0.68
S23,Pharma,2,0.96,100.0,0.32
S24,Electronics,0,0.52,100.0,0.52
S9,Textiles,0,0.76,100.0,0.76
S23,Machinery,0,0.84,100.0,0.84
S18,Machinery,0,0.97,100.0,0.97
S12,Food,0,0.81,100.0,0.81
S10,Electronics,0,0.9,100.0,0.9
S26,Electronics,0,0.54,100.0,0.54
S1,Food,0,0.69,100.0,0.69
S15,Food,3,0.69,100.0,0.17
S29,Food,0,0.94,100.0,0.94
S24,Textiles,10,0.58,100.0,0.05
S18,Electronics,3,0.58,100.0,0.14
S21,Textiles,0,0.66,100.0,0.66
S10,Food,0,0.53,100.0,0.53
S29,Electronics,0,0.59,100.0,0.59
S24,Textiles,10,0.98,100.0,0.09
S23,Textiles,1,0.71,100.0,0.36
S25,Food,1,0.82,100.0,0.41
S19,Electronics,5,0.86,100.0,0.14
S29,Food,0,0.68,100.0,0.68
S23,Electronics,0,0.57,100.0,0.57
S24,Machinery,5,0.6,100.0,0.1
S10,Pharma,0,0.66,100.0,0.66
S29,Pharma,0,0.82,100.0,0.82
S25,Pharma,3,0.7,100.0,0.18
S30,Food,0,0.5,100.0,0.5
S10,Machinery,7,0.76,100.0,0.1
S27,Electronics,3,0.96,100.0,0.24
S25,Textiles,2,0.91,100.0,0.3
S6,Electronics,0,0.91,100.0,0.91
S27,Textiles,0,0.9,100.0,0.9
S13,Electronics,0,0.66,100.0,0.66
S22,Machinery,0,0.88,100.0,0.88
S24,Textiles,10,0.57,100.0,0.05
S30,Food,0,0.83,100.0,0.83
S7,Electronics,0,0.82,100.0,0.82
S29,Electronics,0,0.51,100.0,0.51
S30,Textiles,0,0.89,100.0,0.89
S23,Food,10,0.95,100.0,0.09
S22,Food,2,0.63,100.0,0.21
S8,Machinery,0,0.91,100.0,0.91
S24,Food,0,0.54,100.0,0.54
S16,Food,1,0.8,100.0,0.4
S26,Food,2,0.74,100.0,0.25
S30,Pharma,10,0.77,100.0,0.07
S29,Machinery,3,0.96,100.0,0.24
S2,Electronics,2,0.94,100.0,0.31
S9,Textiles,5,0.89,100.0,0.15
S14,Electronics,0,0.64,100.0,0.64
S20,Machinery,3,0.96,100.0,0.24
S6,Textiles,0,0.55,100.0,0.55
S19,Machinery,0,0.93,100.0,0.93
S7,Food,0,0.66,100.0,0.66
S22,Textiles,0,0.53,100.0,0.53
S17,Food,2,0.83,100.0,0.28
S29,Electronics,5,0.62,100.0,0.1
S17,Electronics,2,0.62,100.0,0.21
S16,Textiles,0,0.65,100.0,0.65
S12,Textiles,0,0.53,100.0,0.53
S16,Machinery,0,0.59,100.0,0.59
S9,Machinery,1,0.5,100.0,0.25
S28,Food,0,0.72,100.0,0.72
S25,Textiles,0,0.54,100.0,0.54
S30,Electronics,7,0.84,100.0,0.1
S15,Machinery,0,0.62,100.0,0.62
S8,Machinery,2,0.97,100.0,0.32
S4,Electronics,0,0.94,100.0,0.94
S18,Machinery,0,0.64,100.0,0.64
S20,Food,1,0.89,100.0,0.44
S25,Textiles,1,0.9,100.0,0.45
S12,Electronics,0,0.99,100.0,0.99
S25,Textiles,0,0.8,100.0,0.8
S6,Machinery,1,0.54,100.0,0.27
S18,Machinery,0,0.82,100.0,0.82
S28,Electronics,0,0.81,100.0,0.81
S13,Food,0,0.82,100.0,0.82
S4,Pharma,0,0.65,100.0,0.65
S22,Electronics,0,0.93,100.0,0.93
S26,Pharma,2,0.98,100.0,0.33
S3,Pharma,5,0.61,100.0,0.1
S24,Food,3,0.54,100.0,0.14
S24,Pharma,0,0.6,100.0,0.6
S24,Pharma,0,0.91,100.0,0.91
S6,Food,2,0.84,100.0,0.28
S4,Pharma,0,0.82,100.0,0.82
S7,Pharma,0,0.7,100.0,0.7
S4,Pharma,0,0.79,100.0,0.79
S21,Electronics,1,0.65,100.0,0.32
S16,Electronics,1,0.74,100.0,0.37
S7,Electronics,0,0.9,100.0,0.9
S24,Food,7,0.99,100.0,0.12
S19,Machinery,3,0.97,100.0,0.24
S8,Pharma,5,0.97,100.0,0.16
S15,Pharma,1,0.7,100.0,0.35
S30,Food,0,0.73,100.0,0.73
S16,Pharma,3,0.85,100.0,0.21
S16,Electronics,3,0.96,100.0,0.24
S28,Machinery,0,0.57,100.0,0.57
S16,Textiles,3,0.65,100.0,0.16
S18,Pharma,0,0.57,100.0,0.57
S13,Electronics,1,0.81,100.0,0.4
S5,Textiles,0,0.65,100.0,0.65
S9,Machinery,1,0.66,100.0,0.33
S26,Textiles,0,0.54,100.0,0.54
S24,Electronics,0,0.67,100.0,0.67
S6,Textiles,3,0.93,100.0,0.23
S11,Food,3,0.62,100.0,0.16
S21,Textiles,2,0.85,100.0,0.28
S27,Pharma,2,0.81,100.0,0.27
S5,Pharma,1,0.93,100.0,0.46
S25,Food,1,0.57,100.0,0.28
S17,Electronics,0,0.99,100.0,0.99
S25,Pharma,1,0.79,100.0,0.4
S1,Machinery,0,1.0,100.0,1.0
S23,Pharma,7,0.96,100.0,0.12
S6,Pharma,0,0.61,100.0,0.61
S25,Electronics,0,0.53,100.0,0.53
S19,Textiles,0,0.63,100.0,0.63
S30,Pharma,2,0.76,100.0,0.25
S21,Food,10,0.59,100.0,0.05
S26,Textiles,0,0.58,100.0,0.58
S30,Machinery,3,0.73,100.0,0.18
S24,Electronics,0,0.52,100.0,0.52
S26,Machinery,2,0.56,100.0,0.19
S22,Textiles,5,0.71,100.0,0.12
S26,Textiles,1,0.53,100.0,0.26
S3,Textiles,0,0.7,100.0,0.7
S28,Machinery,3,0.74,100.0,0.18
S4,Textiles,0,0.73,100.0,0.73
S10,Machinery,0,0.93,100.0,0.93
S29,Textiles,7,0.77,100.0,0.1
S27,Food,0,0.73,100.0,0.73
S1,Textiles,0,0.71,100.0,0.71
S7,Machinery,0,0.91,100.0,0.91
S23,Pharma,0,0.95,100.0,0.95
S17,Textiles,0,0.93,100.0,0.93
S13,Pharma,5,0.84,100.0,0.14
S26,Food,0,0.57,100.0,0.57
S24,Electronics,5,0.64,100.0,0.11
S21,Food,3,0.52,100.0,0.13
S27,Textiles,0,0.97,100.0,0.97
S3,Pharma,0,0.83,100.0,0.83
S10,Pharma,5,0.87,100.0,0.14
S1,Machinery,0,0.66,100.0,0.66
S7,Pharma,0,0.92,100.0,0.92
S30,Machinery,3,0.63,100.0,0.16
S17,Electronics,10,0.5,100.0,0.05
S30,Textiles,1,0.69,100.0,0.34
S17,Machinery,5,0.79,100.0,0.13
S8,Electronics,0,0.74,100.0,0.74
S14,Pharma,0,0.93,100.0,0.93
S6,Pharma,1,0.55,100.0,0.28
S16,Electronics,0,0.78,100.0,0.78
S1,Pharma,0,0.76,100.0,0.76
S17,Electronics,0,0.64,100.0,0.64
S2,Machinery,0,0.91,100.0,0.91
S19,Machinery,5,0.88,100.0,0.15
S3,Electronics,1,0.87,100.0,0.44
S16,Machinery,10,0.94,100.0,0.09
S24,Machinery,0,0.86,100.0,0.86
S27,Machinery,0,0.62,100.0,0.62
S11,Food,0,0.85,100.0,0.85
S21,Textiles,0,0.65,100.0,0.65
S18,Pharma,0,0.62,100.0,0.62
S16,Food,1,0.54,100.0,0.27
S16,Machinery,3,0.87,100.0,0.22
S27,Electronics,0,0.86,100.0,0.86
S5,Machinery,0,0.62,100.0,0.62
S18,Textiles,7,0.87,100.0,0.11
S22,Machinery,3,0.96,100.0,0.24
S3,Electronics,1,0.55,100.0,0.28
S26,Textiles,3,0.62,100.0,0.16
S28,Machinery,0,0.88,100.0,0.88
S8,Textiles,5,0.64,100.0,0.11
S13,Pharma,10,0.81,100.0,0.07
S25,Pharma,0,0.54,100.0,0.54
S17,Machinery,1,0.73,100.0,0.36
S11,Textiles,3,0.87,100.0,0.22
S21,Electronics,0,0.84,100.0,0.84
S21,Machinery,0,0.91,100.0,0.91
S16,Pharma,1,0.94,100.0,0.47
S1,Pharma,0,0.89,100.0,0.89
S9,Machinery,5,0.84,100.0,0.14
S1,Textiles,7,0.52,100.0,0.06
S10,Pharma,0,0.77,100.0,0.77
S16,Textiles,2,0.52,100.0,0.17
S28,Pharma,1,0.9,100.0,0.45
S17,Pharma,0,0.66,100.0,0.66
S25,Food,3,0.78,100.0,0.2
S29,Pharma,1,0.64,100.0,0.32
S30,Electronics,0,0.89,100.0,0.89
S13,Machinery,3,0.94,100.0,0.24
S25,Machinery,10,0.7,100.0,0.06
S18,Textiles,1,0.93,100.0,0.46
S24,Pharma,5,0.63,100.0,0.1
S20,Electronics,0,0.77,100.0,0.77
S18,Textiles,0,0.93,100.0,0.93
S14,Food,3,0.66,100.0,0.16
S9,Textiles,3,0.98,100.0,0.24
S11,Textiles,0,0.56,100.0,0.56
S23,Pharma,7,0.51,100.0,0.06
S10,Food,10,0.95,100.0,0.09
S24,Textiles,10,0.53,100.0,0.05
S25,Electronics,2,1.0,100.0,0.33
S27,Electronics,0,0.98,100.0,0.98
S4,Machinery,10,0.57,100.0,0.05
S2,Food,1,0.77,100.0,0.38
S2,Food,5,0.59,100.0,0.1
S11,Machinery,0,0.71,100.0,0.71
S2,Textiles,2,0.53,100.0,0.18
S16,Food,0,0.61,100.0,0.61
S3,Electronics,10,0.68,100.0,0.06
S26,Electronics,0,0.72,100.0,0.72
S7,Pharma,5,0.99,100.0,0.16
S23,Food,0,0.9,100.0,0.9
S28,Textiles,0,0.87,100.0,0.87
S19,Machinery,0,0.77,100.0,0.77
S21,Machinery,0,0.92,100.0,0.92
S19,Textiles,1,0.67,100.0,0.34
S25,Pharma,10,0.85,100.0,0.08
S22,Machinery,0,1.0,100.0,1.0
S5,Food,1,0.66,100.0,0.33
S14,Pharma,10,0.84,100.0,0.08
S29,Food,2,0.92,100.0,0.31
S1,Electronics,0,0.96,100.0,0.96
S9,Pharma,2,0.86,100.0,0.29
S26,Machinery,1,0.64,100.0,0.32
S14,Pharma,10,0.66,100.0,0.06
S11,Pharma,0,0.51,100.0,0.51
S2,Pharma,0,0.88,100.0,0.88
S24,Pharma,10,0.52,100.0,0.05
S10,Food,1,0.93,100.0,0.46
S4,Electronics,3,0.56,100.0,0.14
S9,Textiles,0,0.59,100.0,0.59
S4,Pharma,0,0.74,100.0,0.74
S13,Machinery,1,0.87,100.0,0.44
S16,Pharma,1,0.57,100.0,0.28
S2,Machinery,1,0.72,100.0,0.36
S16,Food,0,0.74,100.0,0.74
S23,Machinery,1,0.61,100.0,0.3
S28,Textiles,0,0.56,100.0,0.56
S28,Electronics,0,0.92,100.0,0.92
S7,Machinery,0,0.75,100.0,0.75
S12,Machinery,0,0.51,100.0,0.51
S28,Electronics,0,0.9,100.0,0.9
S1,Textiles,3,0.99,100.0,0.25
S1,Pharma,2,0.8,100.0,0.27
S21,Machinery,1,0.75,100.0,0.38
S1,Electronics,1,0.94,100.0,0.47
S5,Food,5,0.98,100.0,0.16
S17,Electronics,0,0.88,100.0,0.88
S4,Food,0,0.72,100.0,0.72
S2,Textiles,7,0.8,100.0,0.1
S30,Pharma,0,0.85,100.0,0.85
S25,Electronics,0,0.6,100.0,0.6
S6,Machinery,0,0.72,100.0,0.72
S6,Textiles,0,0.91,100.0,0.91
S3,Electronics,5,0.83,100.0,0.14
S25,Machinery,0,0.71,100.0,0.71
S7,Electronics,1,0.83,100.0,0.42
S23,Food,10,0.56,100.0,0.05
S23,Electronics,0,0.7,100.0,0.7
S26,Electronics,0,0.9,100.0,0.9
S18,Electronics,1,0.61,100.0,0.3
S22,Textiles,0,0.59,100.0,0.59
S22,Electronics,0,0.98,100.0,0.98
S28,Machinery,5,0.6,100.0,0.1
S7,Food,0,0.63,100.0,0.63
S24,Food,0,0.98,100.0,0.98
S2,Electronics,2,0.87,100.0,0.29
S26,Textiles,2,0.85,100.0,0.28
S4,Textiles,1,0.93,100.0,0.46
S1,Machinery,2,0.56,100.0,0.19
S26,Electronics,1,0.85,100.0,0.42
S2,Food,2,0.75,100.0,0.25
S18,Textiles,0,0.91,100.0,0.91
S15,Electronics,3,0.75,100.0,0.19
S10,Textiles,0,0.81,100.0,0.81
S15,Textiles,2,0.74,100.0,0.25
S20,Food,2,0.74,100.0,0.25
S16,Pharma,1,0.88,100.0,0.44
S25,Machinery,0,0.81,100.0,0.81
S11,Machinery,2,0.82,100.0,0.27
S19,Food,1,0.73,100.0,0.36
S24,Textiles,0,0.77,100.0,0.77
S10,Electronics,2,0.87,100.0,0.29
S27,Textiles,0,0.91,100.0,0.91
S7,Food,0,0.85,100.0,0.85
S15,Machinery,0,0.96,100.0,0.96
S21,Textiles,0,0.91,100.0,0.91
S18,Machinery,1,0.78,100.0,0.39
S5,Electronics,7,0.84,100.0,0.1
S12,Machinery,3,0.96,100.0,0.24
S12,Machinery,10,0.81,100.0,0.07
S14,Pharma,0,0.91,100.0,0.91
S7,Pharma,2,0.84,100.0,0.28
S29,Pharma,1,0.78,100.0,0.39
S6,Machinery,3,0.62,100.0,0.16
S12,Food,0,0.71,100.0,0.71
S12,Machinery,0,0.98,100.0,0.98
S28,Food,2,0.83,100.0,0.28
S29,Food,1,0.78,100.0,0.39
S23,Pharma,0,0.97,100.0,0.97
S24,Textiles,0,0.79,100.0,0.79
S29,Electronics,7,0.76,100.0,0.1
S20,Pharma,2,0.88,100.0,0.29
S25,Pharma,5,0.86,100.0,0.14
S25,Textiles,0,0.6,100.0,0.6
S2,Electronics,0,0.74,100.0,0.74
S7,Machinery,1,0.74,100.0,0.37
S2,Machinery,0,0.69,100.0,0.69
S24,Pharma,0,0.76,100.0,0.76
S4,Electronics,1,0.71,100.0,0.36
S11,Pharma,10,0.6,100.0,0.05
S4,Food,7,0.71,100.0,0.09
S1,Pharma,2,0.54,100.0,0.18
S25,Pharma,0,0.79,100.0,0.79
S25,Machinery,2,0.93,100.0,0.31
S18,Machinery,3,0.86,100.0,0.22
S23,Machinery,7,0.68,100.0,0.08
S28,Food,10,0.54,100.0,0.05
S8,Machinery,0,0.6,100.0,0.6
S26,Electronics,2,0.77,100.0,0.26
S6,Textiles,5,0.6,100.0,0.1
S7,Electronics,3,0.77,100.0,0.19
S7,Electronics,0,0.62,100.0,0.62
S29,Machinery,2,0.92,100.0,0.31
S4,Textiles,10,0.7,100.0,0.06
S6,Textiles,0,0.62,100.0,0.62
S19,Textiles,0,0.91,100.0,0.91
S22,Food,0,0.67,100.0,0.67
S25,Machinery,0,0.56,100.0,0.56
S28,Textiles,0,0.79,100.0,0.79
S23,Food,0,0.79,100.0,0.79
S11,Pharma,2,0.86,100.0,0.29
S21,Pharma,3,0.62,100.0,0.16
S12,Food,5,0.72,100.0,0.12
S3,Food,5,0.64,100.0,0.11
S6,Machinery,0,0.54,100.0,0.54
S22,Machinery,2,0.94,100.0,0.31
S19,Pharma,0,0.86,100.0,0.86
S11,Textiles,7,0.65,100.0,0.08
S20,Pharma,0,0.8,100.0,0.8
S27,Textiles,5,0.6,100.0,0.1
S3,Textiles,1,0.95,100.0,0.48
S14,Machinery,10,0.56,100.0,0.05
S14,Electronics,0,0.5,100.0,0.5
S29,Electronics,5,0.75,100.0,0.12
S29,Food,0,0.79,100.0,0.79
S7,Machinery,0,0.79,100.0,0.79
S19,Textiles,0,0.53,100.0,0.53
S9,Electronics,0,0.66,100.0,0.66
S8,Textiles,0,0.75,100.0,0.75
S15,Electronics,5,0.61,100.0,0.1
S10,Electronics,5,0.94,100.0,0.16
S24,Electronics,5,0.54,100.0,0.09
S16,Machinery,2,0.74,100.0,0.25
S13,Pharma,0,0.85,100.0,0.85
S19,Textiles,0,0.63,100.0,0.63
S26,Machinery,0,0.81,100.0,0.81
S4,Machinery,1,0.91,100.0,0.46
S7,Machinery,0,0.6,100.0,0.6
S26,Machinery,5,0.96,100.0,0.16
S5,Machinery,2,0.78,100.0,0.26
S13,Food,2,0.65,100.0,0.22
S29,Textiles,3,0.72,100.0,0.18
S28,Machinery,7,0.66,100.0,0.08
S26,Textiles,10,0.86,100.0,0.08
S24,Food,2,0.9,100.0,0.3
S12,Food,7,0.92,100.0,0.12
S7,Textiles,7,0.99,100.0,0.12
S7,Electronics,0,0.9,100.0,0.9
S3,Pharma,0,0.8,100.0,0.8
S18,Electronics,1,0.67,100.0,0.34
S28,Electronics,0,0.77,100.0,0.77
S23,Electronics,10,0.52,100.0,0.05
S28,Machinery,0,0.87,100.0,0.87
S23,Food,5,0.72,100.0,0.12
S10,Electronics,0,0.51,100.0,0.51
S24,Food,1,0.53,100.0,0.26
S5,Textiles,2,0.69,100.0,0.23
S4,Pharma,0,0.79,100.0,0.79
S4,Textiles,1,0.73,100.0,0.36
S9,Textiles,1,0.81,100.0,0.4
S5,Machinery,2,0.74,100.0,0.25
S10,Pharma,0,0.83,100.0,0.83
S9,Textiles,10,0.61,100.0,0.06
S1,Textiles,0,0.56,100.0,0.56
S16,Pharma,0,0.8,100.0,0.8
S18,Pharma,0,0.74,100.0,0.74
S23,Textiles,3,0.51,100.0,0.13
S11,Pharma,0,0.69,100.0,0.69
S6,Textiles,0,0.55,100.0,0.55
S25,Textiles,0,0.77,100.0,0.77
S29,Machinery,0,0.7,100.0,0.7
S9,Electronics,0,0.81,100.0,0.81
S21,Textiles,0,0.9,100.0,0.9
S9,Food,0,0.65,100.0,0.65
S16,Electronics,5,0.98,100.0,0.16
S10,Electronics,0,0.77,100.0,0.77
S16,Electronics,0,0.81,100.0,0.81
S16,Machinery,0,0.84,100.0,0.84
S11,Textiles,2,0.83,100.0,0.28
S7,Machinery,3,0.76,100.0,0.19
S18,Textiles,10,0.71,100.0,0.06
S13,Machinery,5,0.53,100.0,0.09
S28,Machinery,1,0.51,100.0,0.26
